NPSCompany,NPSIndustry,NPSScore,FortuneYear,FortuneRank,FortuneCompany,FortuneRevenue($ millions),FortuneProfit($ millions)
Walmart,General Merchandisers,-4,2013,1,Walmart,469162,16999
Exxon Mobil,Petroleum Refining,2,2013,2,Exxon Mobil,449886,44880
Chevron,Petroleum Refining,5,2013,3,Chevron,233899,26179
Berkshire Hathaway,Insurance: Property and Casualty (Stock),-6,2013,4,Phillips 66,169551,4124
Apple,Consumer Brands / Electronics,47,2013,5,Berkshire Hathaway,162463,14824
General Motors,Motor Vehicles and Parts,3,2013,6,Apple,156508,41733
General Electric,Manufacturing,20,2013,7,General Motors,152256,6188
Ford Motor,Motor Vehicles and Parts,9,2013,8,General Electric,146874,13641
CVS Health,Food and Drug Stores,-5,2013,9,Valero Energy,138286,2083
McKesson,Wholesalers: Health Care,-4,2013,10,Ford Motor,134252,5665
AT&T,Telecommunications / Cable/TV service,15,2013,11,AT&T,127434,7264
Valero Energy,Petroleum Refining,0,2013,12,Fannie Mae,127230,17220
UnitedHealth Group,Health Care: Insurance and Managed Care,1,2013,13,CVS Health,123133,3876.9
Verizon,Telecommunications / Cable/TV service,7,2013,14,McKesson,122734,1403
AmerisourceBergen,Wholesalers: Health Care,5,2013,15,HP,120357,-12650
Fannie Mae,Diversified Financials,3,2013,16,Verizon,115846,875
Costco,Consumer Brands / Grocery,79,2013,17,UnitedHealth Group,110618,5526
HP,Consumer Brands / Electronics,29,2013,18,JP Morgan Chase,108184,21284
Kroger,Food and Drug Stores,5,2013,19,Cardinal Health,107552,1069
JP Morgan Chase,Commercial Banks,4,2013,20,IBM,104507,16604
Express Scripts Holding,Health Care: Pharmacy and Other Services,-3,2013,21,Bank of America Corp.,100078,4188
Bank of America Corp.,Commercial Banks,12,2013,22,Costco,99137,1709
IBM,Consumer Brands / Electronics,27,2013,23,Kroger,96751.3,1496.5
Marathon Petroleum,Petroleum Refining,-7,2013,24,Express Scripts Holding,94416.7,1312.9
Cardinal Health,Wholesalers: Health Care,5,2013,25,Wells Fargo,91247,18897
Boeing,Aerospace and Defense,3,2013,26,Citigroup,90769,7541
Citigroup,Commercial Banks,6,2013,27,Archer Daniels Midland,89038,1223
Amazon.com,Internet Services and Retailing,7,2013,28,Procter & Gamble,85120,10756
Wells Fargo,Commercial Banks,-2,2013,29,Prudential Financial,84838,469
Microsoft,Technology / Software,45,2013,30,Boeing,81698,3900
Procter & Gamble,Household and Personal Products,10,2013,31,Freddie Mac,80635,10982
Home Depot,Specialty Retailers: Other,-5,2013,32,AmerisourceBergen,79720.5,719
Archer Daniels Midland,Food Production,12,2013,33,Marathon Petroleum,76783,3389
Walgreens,Consumer Brands / FMCG,25,2013,34,Home Depot,74754,4535
Target,Consumer Brands / Retail/E-tail,43,2013,35,Microsoft,73723,16978
Anthem,Health Care: Insurance and Managed Care,16,2013,36,Target,73301,2999
MetLife,"Insurance: Life, Health (stock)",1,2013,37,Walgreen,71633,2127
Google,Consumer Brands / Internet,11,2013,38,AIG,70143,3438
State Farm Insurance Cos.,Insurance: Property and Casualty (Mutual),8,2013,39,INTL FCStone,69260.6,15
Freddie Mac,Diversified Financials,-7,2013,40,MetLife,68224,1324
Comcast,Consumer Brands / Car Manufacturers,-3,2013,41,Johnson & Johnson,67224,10853
PepsiCo,Food Consumer Products,2,2013,42,Caterpillar,65875,5681
United Technologies,Aerospace and Defense,8,2013,43,PepsiCo,65492,6178
AIG,Insurance: Property and Casualty (Stock),10,2013,44,State Farm Insurance Cos.,65285.7,3159.2
UPS,Logistics / Delivery/postal services,39,2013,45,ConocoPhillips,63373,8428
Dow Chemical,Chemicals,4,2013,46,Comcast,62570,6203
Aetna,Health Care: Insurance and Managed Care,16,2013,47,WellPoint,61711.7,2655.5
Lowe's,Specialty Retailers: Other,5,2013,48,Pfizer,61244,14570
Intel,Technology / Hardware,52,2013,49,Amazon.com,61093,-39
Energy Transfer Equity,Pipelines,2,2013,50,United Technologies,59783,5130
Caterpillar,Manufacturing,41,2013,51,Dell,56940,2372
Prudential Financial,"Insurance: Life, Health (stock)",1,2013,52,Dow Chemical,56786,1182
Pfizer,Pharmaceuticals,9,2013,53,UPS,54127,807
Disney,Entertainment,-7,2013,54,Intel,53341,11005
Humana,Insurance / Health and Life Insurance,32,2013,55,Google,52203,10737
Enterprise Products Partners,Pipelines,3,2013,56,Lowe's,50521,1959
Cisco Systems,Network and Other Communications Equipment,-8,2013,57,Coca-Cola,48017,9019
Sysco,Wholesalers: Food and Grocery,-7,2013,58,Merck,47267,6168
Ingram Micro,Wholesalers: Electronics and Office Equipment,3,2013,59,Lockheed Martin,47182,2745
